datetime,open,high,low,close
2026-04-30 18:30:00,0.86357,0.86388,0.86329,0.86386
2026-04-30 18:45:00,0.86386,0.86391,0.8636,0.86374
2026-04-30 19:00:00,0.86375,0.86388,0.86364,0.86383
2026-04-30 19:15:00,0.86383,0.86389,0.86352,0.86353
2026-04-30 19:30:00,0.86352,0.8637,0.86342,0.86358
2026-04-30 19:45:00,0.86357,0.86373,0.86352,0.86357
2026-04-30 20:00:00,0.86357,0.86366,0.86346,0.86351
2026-04-30 20:15:00,0.8635,0.86361,0.86341,0.86348
2026-04-30 20:30:00,0.86349,0.86359,0.86347,0.86357
2026-04-30 20:45:00,0.86358,0.86359,0.86325,0.86333
2026-04-30 21:00:00,0.86332,0.86336,0.863,0.86301
2026-04-30 21:15:00,0.86302,0.86312,0.86286,0.86306
2026-04-30 21:30:00,0.86307,0.86313,0.8629,0.86301
2026-04-30 21:45:00,0.86301,0.86307,0.86277,0.86287
2026-04-30 22:00:00,0.86288,0.86291,0.8625,0.86256
2026-04-30 22:15:00,0.86257,0.86265,0.86249,0.86253
2026-04-30 22:30:00,0.86253,0.86258,0.86244,0.86251
2026-04-30 22:45:00,0.86252,0.86257,0.86243,0.8625
2026-04-30 23:00:00,0.86251,0.86255,0.86225,0.86227
2026-04-30 23:15:00,0.86226,0.86244,0.86226,0.86235
2026-04-30 23:30:00,0.86234,0.86247,0.86231,0.86238
2026-04-30 23:45:00,0.86239,0.8625,0.86225,0.86229
2026-05-01 00:00:00,0.86117,0.8624,0.86117,0.86232
2026-05-01 00:15:00,0.86236,0.86242,0.86227,0.86235
2026-05-01 00:30:00,0.86235,0.86247,0.86231,0.86236
2026-05-01 00:45:00,0.86236,0.86254,0.86233,0.86239
2026-05-01 01:00:00,0.86235,0.8624,0.86218,0.8623
2026-05-01 01:15:00,0.8623,0.86233,0.86228,0.86228
2026-05-01 01:30:00,0.86229,0.86235,0.86227,0.86233
2026-05-01 01:45:00,0.86235,0.86239,0.86234,0.86238
2026-05-01 02:00:00,0.86237,0.86238,0.86232,0.86232
2026-05-01 02:15:00,0.86232,0.86235,0.86232,0.86232
2026-05-01 02:30:00,0.86232,0.86234,0.86226,0.86228
2026-05-01 02:45:00,0.86228,0.86231,0.86222,0.8623
2026-05-01 03:00:00,0.8623,0.86231,0.86217,0.8622
2026-05-01 03:15:00,0.86219,0.86229,0.8621,0.86229
2026-05-01 03:30:00,0.8623,0.8623,0.86208,0.86224
2026-05-01 03:45:00,0.86225,0.8623,0.86208,0.86213
2026-05-01 04:00:00,0.86214,0.86223,0.86211,0.86218
2026-05-01 04:15:00,0.86219,0.86227,0.86217,0.86226
2026-05-01 04:30:00,0.86225,0.86237,0.86225,0.86231
2026-05-01 04:45:00,0.86231,0.86237,0.8622,0.86222
2026-05-01 05:00:00,0.86223,0.86228,0.86221,0.86227
2026-05-01 05:15:00,0.86227,0.86228,0.8622,0.86227
2026-05-01 05:30:00,0.86227,0.86244,0.86223,0.86242
2026-05-01 05:45:00,0.86242,0.86254,0.86239,0.86242
2026-05-01 06:00:00,0.86242,0.86246,0.86229,0.86231
2026-05-01 06:15:00,0.86232,0.86236,0.86225,0.86229
2026-05-01 06:30:00,0.8623,0.86248,0.86225,0.86245
2026-05-01 06:45:00,0.86246,0.86257,0.8624,0.86246
2026-05-01 07:00:00,0.86245,0.86249,0.86238,0.86246
2026-05-01 07:15:00,0.86245,0.86253,0.8624,0.86252
2026-05-01 07:30:00,0.86251,0.86253,0.86241,0.86248
2026-05-01 07:45:00,0.86249,0.86252,0.86242,0.86247
2026-05-01 08:00:00,0.86247,0.86254,0.86243,0.86253
2026-05-01 08:15:00,0.86252,0.86263,0.8625,0.86257
2026-05-01 08:30:00,0.86256,0.8627,0.86254,0.86265
2026-05-01 08:45:00,0.86265,0.86268,0.86255,0.86265
2026-05-01 09:00:00,0.86264,0.86267,0.86253,0.86259
2026-05-01 09:15:00,0.86258,0.86261,0.86235,0.86237
2026-05-01 09:30:00,0.86238,0.86243,0.86206,0.86214
2026-05-01 09:45:00,0.86215,0.86238,0.86202,0.86224
2026-05-01 10:00:00,0.86225,0.86241,0.86203,0.86226
2026-05-01 10:15:00,0.86227,0.86258,0.86222,0.86252
2026-05-01 10:30:00,0.86251,0.86267,0.86249,0.86254
2026-05-01 10:45:00,0.86253,0.86275,0.86247,0.86256
2026-05-01 11:00:00,0.86256,0.86275,0.86248,0.86266
2026-05-01 11:15:00,0.86266,0.86316,0.86263,0.86309
2026-05-01 11:30:00,0.86308,0.86323,0.86293,0.86305
2026-05-01 11:45:00,0.86306,0.8631,0.86282,0.86301
2026-05-01 12:00:00,0.863,0.86301,0.86273,0.86296
2026-05-01 12:15:00,0.86296,0.86319,0.86291,0.86316
2026-05-01 12:30:00,0.86316,0.86316,0.86292,0.863
2026-05-01 12:45:00,0.86298,0.86315,0.86298,0.86306
2026-05-01 13:00:00,0.86307,0.86323,0.86303,0.86306
2026-05-01 13:15:00,0.86306,0.86307,0.86285,0.86285
2026-05-01 13:30:00,0.86287,0.86308,0.86287,0.863
2026-05-01 13:45:00,0.863,0.8633,0.86297,0.86323
2026-05-01 14:00:00,0.86324,0.86324,0.86298,0.86316
2026-05-01 14:15:00,0.86317,0.86326,0.86312,0.86318
2026-05-01 14:30:00,0.86319,0.86322,0.86302,0.86306
2026-05-01 14:45:00,0.86307,0.86319,0.86281,0.86283
2026-05-01 15:00:00,0.86283,0.86297,0.86255,0.86263
2026-05-01 15:15:00,0.86263,0.86273,0.86249,0.86264
2026-05-01 15:30:00,0.86264,0.86279,0.86256,0.86268
2026-05-01 15:45:00,0.86268,0.86276,0.86256,0.86267
2026-05-01 16:00:00,0.86267,0.8627,0.86249,0.86268
2026-05-01 16:15:00,0.86267,0.86271,0.86256,0.86262
2026-05-01 16:30:00,0.86262,0.86283,0.86255,0.86265
2026-05-01 16:45:00,0.86264,0.86267,0.86234,0.86249
2026-05-01 17:00:00,0.86249,0.86296,0.86234,0.86287
2026-05-01 17:15:00,0.86288,0.86313,0.86277,0.86299
2026-05-01 17:30:00,0.86299,0.86348,0.86298,0.86318
2026-05-01 17:45:00,0.86319,0.86409,0.86319,0.8638
2026-05-01 18:00:00,0.86379,0.86384,0.8636,0.86362
2026-05-01 18:15:00,0.86361,0.86371,0.86348,0.86348
2026-05-01 18:30:00,0.86348,0.86358,0.86334,0.86355
2026-05-01 18:45:00,0.86356,0.86358,0.86315,0.86317
2026-05-01 19:00:00,0.86316,0.86319,0.86294,0.86304
2026-05-01 19:15:00,0.86304,0.8634,0.86297,0.86327
2026-05-01 19:30:00,0.86327,0.86334,0.8631,0.8633
2026-05-01 19:45:00,0.8633,0.86333,0.86314,0.86321
2026-05-01 20:00:00,0.86321,0.86332,0.86313,0.8632
2026-05-01 20:15:00,0.8632,0.86332,0.86314,0.86327
2026-05-01 20:30:00,0.86326,0.86337,0.86307,0.86324
2026-05-01 20:45:00,0.86324,0.86326,0.86316,0.86317
2026-05-01 21:00:00,0.86316,0.86327,0.86314,0.86327
2026-05-01 21:15:00,0.86328,0.86348,0.86323,0.86339
2026-05-01 21:30:00,0.8634,0.86341,0.86325,0.86338
2026-05-01 21:45:00,0.86338,0.86351,0.8633,0.86345
2026-05-01 22:00:00,0.86346,0.86353,0.86334,0.86334
2026-05-01 22:15:00,0.86335,0.86338,0.86327,0.86329
2026-05-01 22:30:00,0.86328,0.86336,0.86326,0.86327
2026-05-01 22:45:00,0.86328,0.86346,0.86327,0.86345
2026-05-01 23:00:00,0.86346,0.8636,0.86344,0.86353
2026-05-01 23:15:00,0.86354,0.86357,0.86339,0.86341
